Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value,clean_value
2023,APR,STATE,6,6,TOTAL,"208,807,000",208807000
2023,APR,STATE,16,6,TOTAL,"86,452,000",86452000
2023,APR,STATE,17,6,TOTAL,"5,068,000",5068000
2023,APR,STATE,19,6,TOTAL,"31,512,000",31512000
2023,APR,STATE,27,6,TOTAL,"69,728,000",69728000
2023,APR,STATE,34,6,TOTAL,"4,889,000",4889000
2023,APR,STATE,35,6,TOTAL,"79,038,000",79038000
2023,APR,STATE,36,6,TOTAL,"66,256,000",66256000
2023,APR,STATE,39,6,TOTAL,"20,510,000",20510000
2023,APR,STATE,,6,TOTAL,"215,206,000",215206000
2023,APR,STATE,42,6,TOTAL,"39,420,000",39420000
2023,APR,STATE,46,6,TOTAL,"43,253,000",43253000
2023,APR,STATE,50,6,TOTAL,"11,279,000",11279000
2023,APR,STATE,55,6,TOTAL,"289,699,000",289699000
2023,FEB,STATE,6,6,TOTAL,"201,881,000",201881000
2023,FEB,STATE,16,6,TOTAL,"72,363,000",72363000
2023,FEB,STATE,17,6,TOTAL,"4,865,000",4865000
2023,FEB,STATE,19,6,TOTAL,"31,219,000",31219000
2023,FEB,STATE,27,6,TOTAL,"65,560,000",65560000
2023,FEB,STATE,34,6,TOTAL,"4,390,000",4390000
2023,FEB,STATE,35,6,TOTAL,"74,094,000",74094000
2023,FEB,STATE,36,6,TOTAL,"66,098,000",66098000
2023,FEB,STATE,39,6,TOTAL,"19,828,000",19828000
2023,FEB,STATE,,6,TOTAL,"196,281,000",196281000
2023,FEB,STATE,42,6,TOTAL,"38,358,000",38358000
2023,FEB,STATE,46,6,TOTAL,"42,132,000",42132000
2023,FEB,STATE,50,6,TOTAL,"10,819,000",10819000
2023,FEB,STATE,55,6,TOTAL,"272,374,000",272374000
2023,JAN,STATE,6,6,TOTAL,"203,976,000",203976000
2023,JAN,STATE,16,6,TOTAL,"89,502,000",89502000
2023,JAN,STATE,17,6,TOTAL,"5,505,000",5505000
2023,JAN,STATE,19,6,TOTAL,"32,903,000",32903000
2023,JAN,STATE,27,6,TOTAL,"70,870,000",70870000
2023,JAN,STATE,34,6,TOTAL,"5,717,000",5717000
2023,JAN,STATE,35,6,TOTAL,"95,543,000",95543000
2023,JAN,STATE,36,6,TOTAL,"71,829,000",71829000
2023,JAN,STATE,39,6,TOTAL,"22,913,000",22913000
2023,JAN,STATE,,6,TOTAL,"259,418,000",259418000
2023,JAN,STATE,42,6,TOTAL,"38,038,000",38038000
2023,JAN,STATE,50,6,TOTAL,"12,741,000",12741000
2023,JAN,STATE,55,6,TOTAL,"296,382,000",296382000
2023,MAR,STATE,6,6,TOTAL,"219,163,000",219163000
2023,MAR,STATE,16,6,TOTAL,"91,789,000",91789000
2023,MAR,STATE,17,6,TOTAL,"5,165,000",5165000
2023,MAR,STATE,19,6,TOTAL,"34,124,000",34124000
2023,MAR,STATE,27,6,TOTAL,"71,875,000",71875000
2023,MAR,STATE,34,6,TOTAL,"5,723,000",5723000
2023,MAR,STATE,35,6,TOTAL,"83,065,000",83065000
2023,MAR,STATE,36,6,TOTAL,"75,343,000",75343000
2023,MAR,STATE,39,6,TOTAL,"22,037,000",22037000
2023,MAR,STATE,,6,TOTAL,"221,694,000",221694000
2023,MAR,STATE,42,6,TOTAL,"42,074,000",42074000
2023,MAR,STATE,46,6,TOTAL,"45,897,000",45897000
2023,MAR,STATE,50,6,TOTAL,"11,015,000",11015000
2023,MAR,STATE,55,6,TOTAL,"302,954,000",302954000
2022,APR,STATE,6,6,TOTAL,"205,382,000",205382000
2022,APR,STATE,16,6,TOTAL,"86,418,000",86418000
2022,APR,STATE,17,6,TOTAL,"5,913,000",5913000
2022,APR,STATE,19,6,TOTAL,"31,635,000",31635000
2022,APR,STATE,27,6,TOTAL,"68,704,000",68704000
2022,APR,STATE,34,6,TOTAL,"4,407,000",4407000
2022,APR,STATE,35,6,TOTAL,"78,891,000",78891000
2022,APR,STATE,36,6,TOTAL,"67,255,000",67255000
2022,APR,STATE,39,6,TOTAL,"22,686,000",22686000
2022,APR,STATE,,6,TOTAL,"209,955,000",209955000
2022,APR,STATE,42,6,TOTAL,"38,448,000",38448000
2022,APR,STATE,46,6,TOTAL,"45,528,000",45528000
2022,APR,STATE,50,6,TOTAL,"12,681,000",12681000
2022,APR,STATE,55,6,TOTAL,"295,534,000",295534000
2022,AUG,STATE,6,6,TOTAL,"206,755,000",206755000
2022,AUG,STATE,16,6,TOTAL,"73,689,000",73689000
2022,AUG,STATE,17,6,TOTAL,"5,316,000",5316000
2022,AUG,STATE,19,6,TOTAL,"32,270,000",32270000
2022,AUG,STATE,27,6,TOTAL,"68,053,000",68053000
2022,AUG,STATE,34,6,TOTAL,"5,221,000",5221000
2022,AUG,STATE,35,6,TOTAL,"80,707,000",80707000
2022,AUG,STATE,36,6,TOTAL,"68,943,000",68943000
2022,AUG,STATE,39,6,TOTAL,"20,366,000",20366000
2022,AUG,STATE,,6,TOTAL,"212,889,000",212889000
2022,AUG,STATE,42,6,TOTAL,"35,896,000",35896000
2022,AUG,STATE,46,6,TOTAL,"43,058,000",43058000
2022,AUG,STATE,50,6,TOTAL,"12,133,000",12133000
2022,AUG,STATE,55,6,TOTAL,"291,968,000",291968000
2022,DEC,STATE,6,6,TOTAL,"208,991,000",208991000
2022,DEC,STATE,16,6,TOTAL,"86,478,000",86478000
2022,DEC,STATE,17,6,TOTAL,"5,927,000",5927000
2022,DEC,STATE,19,6,TOTAL,"35,363,000",35363000
2022,DEC,STATE,27,6,TOTAL,"70,252,000",70252000
2022,DEC,STATE,34,6,TOTAL,"5,967,000",5967000
2022,DEC,STATE,35,6,TOTAL,"83,452,000",83452000
2022,DEC,STATE,36,6,TOTAL,"66,828,000",66828000
2022,DEC,STATE,39,6,TOTAL,"23,219,000",23219000
2022,DEC,STATE,,6,TOTAL,"216,752,000",216752000
2022,DEC,STATE,42,6,TOTAL,"39,896,000",39896000
2022,DEC,STATE,46,6,TOTAL,"44,209,000",44209000
2022,DEC,STATE,50,6,TOTAL,"12,909,000",12909000
2022,DEC,STATE,55,6,TOTAL,"298,496,000",298496000
2022,FEB,STATE,6,6,TOTAL,"199,386,000",199386000
2022,FEB,STATE,16,6,TOTAL,"73,069,000",73069000
2022,FEB,STATE,17,6,TOTAL,"5,864,000",5864000
2022,FEB,STATE,19,6,TOTAL,"30,484,000",30484000
2022,FEB,STATE,27,6,TOTAL,"62,930,000",62930000
